group	fill
1	#F6F0FF
2	#F4ECFF
3	#FCF9FF
4	#FDFCFF
5	#FFFBF9
6	#FFF3EE
7	#FFEEE8
8	#FFF7F5
9	#FFE7DE
10	#FFDBCE
11	#FFEDE6
12	#F8F3FF
13	#FFF4F0
14	#FFD4C4
15	#FFC6B3
16	#FFD0BF
17	#FFDDD1
18	#FCF9FF
19	#F5EDFF
20	#F9F5FF
21	#FBF7FF
22	#F8F3FF
23	#F3EAFF
24	#EDE0FF
25	#EBDCFF
26	#F6EEFF
27	#FFFEFE
28	#F2E8FF
29	#E9DAFF
30	#E8D7FF
31	#FDFBFF
32	#EDDFFF
33	#FFFEFD
34	#F3EAFF
35	#FEFDFF
36	#E1CCFF
37	#F7F1FF
38	#FFFDFC
39	#FFEAE3
40	#FFCCBA
41	#FFDDD1
42	#E2CFFF
43	#F1E6FF
44	#F0E5FF
45	#F1E6FF
46	#E9D9FF
47	#E8D8FF
48	#DEC7FF
49	#EBDCFF
50	#D0B2FF
51	#EADBFF
52	#EBDDFF
53	#E9DAFF
54	#DAC2FF
55	#CFB1FF
56	#EDDFFF
57	#FFF9F7
58	#F3EAFF
59	#FFFFFE
60	#E8D7FF
61	#EEE2FF
62	#FFFDFC
63	#FFE2D7
64	#FFD8CA
65	#FFC4B0
66	#E2CFFF
67	#F2E8FF
68	#EBDCFF
69	#F1E6FF
70	#EFE3FF
71	#E2CEFF
72	#DBC4FF
73	#E1CCFF
74	#D1B4FF
75	#D6BCFF
76	#CFB1FF
77	#E7D6FF
78	#DCC5FF
79	#A97FFF
80	#EBDCFF
81	#F8F3FF
82	#FEFEFF
83	#FBF8FF
84	#DDC6FF
85	#FFFDFC
86	#F4EBFF
87	#FFEBE4
88	#FFD2C2
89	#FFBDA7
90	#E5D3FF
91	#E1CDFF
92	#E3CFFF
93	#EADBFF
94	#F1E6FF
95	#E1CCFF
96	#CDAFFF
97	#E1CCFF
98	#DDC6FF
99	#F1E6FF
100	#F8F2FF
101	#E5D2FF
102	#F6EEFF
103	#D6BBFF
104	#E9D9FF
105	#FFFCFB
106	#FFFBFA
107	#FAF6FF
108	#DEC7FF
109	#FFFDFC
110	#F0E5FF
111	#FFE1D6
112	#FFCDBC
113	#FFC8B5
114	#DEC8FF
115	#DAC2FF
116	#DAC1FF
117	#E8D8FF
118	#E9D9FF
119	#CFB2FF
120	#D9BFFF
121	#DCC4FF
122	#F4ECFF
123	#F9F4FF
124	#FFF1EC
125	#E1CDFF
126	#FFEEE8
127	#F5EDFF
128	#F8F2FF
129	#FFF7F4
130	#FFF9F7
131	#FDFCFF
132	#D9C0FF
133	#F4EBFF
134	#FAF7FF
135	#FFF3EE
136	#FFCDBC
137	#FFC8B5
138	#D9C1FF
139	#CBACFF
140	#DFCAFF
141	#DEC7FF
142	#D7BCFF
143	#E3D0FF
144	#FBF8FF
145	#DDC6FF
146	#EBDDFF
147	#F2E8FF
148	#FFF1EB
149	#FFFFFF
150	#F9F5FF
151	#F6EFFF
152	#F7F0FF
153	#FDFCFF
154	#F8F2FF
155	#F6EFFF
156	#C09CFF
157	#F5EEFF
158	#FFFAF8
159	#FFEAE2
160	#FFCAB8
161	#FFA58A
162	#C7A6FF
163	#DAC1FF
164	#E4D2FF
165	#DCC4FF
166	#FFEFE9
167	#FFE5DB
168	#FFF3EF
169	#D9BFFF
170	#F1E7FF
171	#FFFCFB
172	#EEE2FF
173	#FFEFE9
174	#F2E7FF
175	#F3E9FF
176	#F3EAFF
177	#F9F5FF
178	#FCFAFF
179	#FEFEFF
180	#D1B4FF
181	#FFF6F3
182	#FFF5F1
183	#FFEAE2
184	#FFEAE2
185	#FFAC92
186	#D9C0FF
187	#E7D6FF
188	#FFFFFF
189	#FDFBFF
190	#F5EEFF
191	#F5EDFF
192	#F7F1FF
193	#E0CBFF
194	#EFE3FF
195	#FFECE4
196	#F9F5FF
197	#FFF4F0
198	#EBDDFF
199	#F3E9FF
200	#EFE3FF
201	#E9D9FF
202	#FFF3EF
203	#FEFEFF
204	#DDC5FF
205	#FFF7F4
206	#FFF3EF
207	#FFD6C7
208	#FFD9CC
209	#FFEBE3
210	#DBC3FF
211	#FDFBFF
212	#FCFAFF
213	#F8F3FF
214	#EEE1FF
215	#FFF8F5
216	#FFEEE7
217	#C9A9FF
218	#F2E7FF
219	#FFE5DC
220	#F4ECFF
221	#FFECE4
222	#FFEBE4
223	#F2E9FF
224	#EFE3FF
225	#EEE2FF
226	#FCF9FF
227	#FEFEFF
228	#F2E8FF
229	#FFF1EC
230	#FFF0EA
231	#FFE2D8
232	#FFDACD
233	#FFDED3
234	#E6D4FF
235	#DEC8FF
236	#FFF7F5
237	#FFFAF8
238	#F4ECFF
239	#FFE0D5
240	#F8F2FF
241	#FFFBFA
242	#FFFCFB
243	#FDFCFF
244	#F9F4FF
245	#F6F0FF
246	#F1E6FF
247	#F5EDFF
248	#EBDCFF
249	#EEE1FF
250	#FCF9FF
251	#F4EBFF
252	#DAC2FF
253	#FFFEFD
254	#FFF0EA
255	#FFF3EE
256	#FFEFE9
257	#FFDED3
258	#F8F2FF
259	#F3EAFF
