group	fill
1	#FF9476
2	#FF8A6B
3	#FF8565
4	#FF8160
5	#FF7C5B
6	#FF7958
7	#FF7250
8	#FF7452
9	#FF7958
10	#FF8565
11	#FF8F70
12	#FF9273
13	#FF7755
14	#FF4E2F
15	#FF391E
16	#FF1D0B
17	#FF4124
18	#FF8F70
19	#FF8A6B
20	#FF8868
21	#FF8868
22	#FF8868
23	#FF8A6B
24	#FF8F70
25	#FFAA90
26	#FF8C6D
27	#FF8C6D
28	#FF8565
29	#FF7C5B
30	#FF7958
31	#FF8362
32	#FF9B7E
33	#FF7452
34	#FF7958
35	#FF6746
36	#FFA88D
37	#FF6746
38	#FF6948
39	#FF7250
40	#FF7452
41	#FF7755
42	#FFA58A
43	#FFA084
44	#FFA084
45	#FFA287
46	#FF9B7E
47	#FFA287
48	#FFA88D
49	#FFAA90
50	#FF9476
51	#FF8A6B
52	#FF8362
53	#FF7C5B
54	#FF7C5B
55	#FF8F70
56	#FF9B7E
57	#FF7C5B
58	#FF7958
59	#FF6948
60	#FFAA90
61	#FF6746
62	#FF6948
63	#FF7958
64	#FF7755
65	#FF7E5D
66	#FFA58A
67	#FFA88D
68	#FFA88D
69	#FFA287
70	#FFA084
71	#FFAA90
72	#FFA88D
73	#FFAC93
74	#FF9B7E
75	#FF9273
76	#FF8868
77	#FF7E5D
78	#FF8F70
79	#FF9D81
80	#FF8362
81	#FF6F4D
82	#FF7452
83	#FF6948
84	#FFAC93
85	#FF6543
86	#FF6948
87	#FF7452
88	#FF7C5B
89	#FF8A6B
90	#FFA88D
91	#FFAC93
92	#FFAE95
93	#FFAA90
94	#FFAC93
95	#FFAE95
96	#FFAC93
97	#FFB198
98	#FF9D81
99	#FF9273
100	#FF8362
101	#FF8A6B
102	#FF8868
103	#FF8A6B
104	#FF7C5B
105	#FF6F4D
106	#FF6F4D
107	#FF6F4D
108	#FFB198
109	#FF6543
110	#FF6F4D
111	#FF7452
112	#FF7C5B
113	#FF997B
114	#FFAE95
115	#FFB39B
116	#FFB8A1
117	#FFB198
118	#FFB39B
119	#FFB69E
120	#FFB198
121	#FFB198
122	#FF9D81
123	#FF8C6D
124	#FF8565
125	#FF997B
126	#FF7E5D
127	#FF7452
128	#FF7250
129	#FF6948
130	#FF6F4D
131	#FF7452
132	#FFB39B
133	#FF6948
134	#FF7250
135	#FF6F4D
136	#FF7C5B
137	#FF997B
138	#FFB39B
139	#FFBBA5
140	#FFBBA5
141	#FFB8A1
142	#FFB8A1
143	#FFAA90
144	#FFAE95
145	#FFB8A1
146	#FFAC93
147	#FF9273
148	#FF8362
149	#FF8C6D
150	#FF7C5B
151	#FF7958
152	#FF7250
153	#FF7452
154	#FF7250
155	#FF7250
156	#FFB8A1
157	#FF6C4B
158	#FF6948
159	#FF6C4B
160	#FF8362
161	#FF8565
162	#FFBBA5
163	#FFBDA8
164	#FFB69E
165	#FFBBA5
166	#FFA084
167	#FFAC93
168	#FFB198
169	#FFB8A1
170	#FFAC93
171	#FFB39B
172	#FFAC93
173	#FF8868
174	#FF8160
175	#FF7958
176	#FF7452
177	#FF7452
178	#FF7452
179	#FF7452
180	#FFBBA5
181	#FF6C4B
182	#FF7452
183	#FF6C4B
184	#FF7755
185	#FF8A6B
186	#FFBDA8
187	#FFB39B
188	#FFB8A1
189	#FFAC93
190	#FF9D81
191	#FF9476
192	#FF9D81
193	#FFBBA5
194	#FFA084
195	#FFAE95
196	#FFA58A
197	#FF8C6D
198	#FF8868
199	#FF7755
