group	fill
1	#F4EBFF
2	#EADAFF
3	#E2CDFF
4	#E6D3FF
5	#CDAFFF
6	#E6D3FF
7	#DCC5FF
8	#EBDDFF
9	#DEC7FF
10	#F8F2FF
11	#F1E6FF
12	#F6EEFF
13	#EEE2FF
14	#FFFDFD
15	#FFECE5
16	#FFDDD1
17	#FFC3B0
18	#F1E6FF
19	#EEE1FF
20	#E4D2FF
21	#ECDFFF
22	#EADAFF
23	#E4D2FF
24	#E9D9FF
25	#F7F1FF
26	#F7F0FF
27	#E9D8FF
28	#ECDFFF
29	#C7A6FF
30	#C8A7FF
31	#D5BAFF
32	#D3B7FF
33	#BE99FF
34	#D2B6FF
35	#E3D0FF
36	#F6EEFF
37	#E7D6FF
38	#DDC6FF
39	#EADBFF
40	#F3EAFF
41	#F8F2FF
42	#F3EAFF
43	#F1E6FF
44	#EBDDFF
45	#DFCAFF
46	#E2CEFF
47	#EBDCFF
48	#E9D8FF
49	#F7F1FF
50	#E2CEFF
51	#E2CEFF
52	#C8A8FF
53	#C7A6FF
54	#C7A6FF
55	#D9C0FF
56	#D3B7FF
57	#C3A0FF
58	#D2B6FF
59	#E8D8FF
60	#F8F3FF
61	#E9D9FF
62	#DDC6FF
63	#F8F3FF
64	#F4ECFF
65	#FFFDFD
66	#F3EAFF
67	#F0E5FF
68	#EADBFF
69	#DFCAFF
70	#D8BFFF
71	#E3CFFF
72	#E9D9FF
73	#FEFDFF
74	#DDC6FF
75	#DFC9FF
76	#CBACFF
77	#D6BCFF
78	#DFC9FF
79	#DEC8FF
80	#C6A4FF
81	#DAC1FF
82	#D5BAFF
83	#E2CDFF
84	#F1E7FF
85	#E6D3FF
86	#DEC7FF
87	#FFE9E1
88	#FFDCCF
89	#FFEAE2
90	#F0E5FF
91	#F0E5FF
92	#EDDFFF
93	#E3D0FF
94	#E0CBFF
95	#DFC9FF
96	#D9C1FF
97	#FCFAFF
98	#D5BAFF
99	#D5BAFF
100	#CCACFF
101	#E3D0FF
102	#DEC7FF
103	#CCADFF
104	#D0B3FF
105	#E5D2FF
106	#DAC2FF
107	#DEC7FF
108	#F1E7FF
109	#E6D3FF
110	#ECDFFF
111	#FFF5F1
112	#FFC3B0
113	#FFC6B2
114	#ECDEFF
115	#EFE3FF
116	#DFC9FF
117	#E2CFFF
118	#DBC3FF
119	#DEC7FF
120	#D9C1FF
121	#F1E6FF
122	#DBC4FF
123	#DCC4FF
124	#E6D4FF
125	#F6EFFF
126	#EEE1FF
127	#D0B3FF
128	#D8BEFF
129	#EBDDFF
130	#ECDEFF
131	#E6D3FF
132	#F4EBFF
133	#E3D0FF
134	#F7F1FF
135	#F1E6FF
136	#FFC3B0
137	#FFC6B2
138	#EDE0FF
139	#EBDCFF
140	#E5D2FF
141	#E3D0FF
142	#E9D9FF
143	#EFE3FF
144	#D6BBFF
145	#F6EFFF
146	#FFF9F6
147	#D1B5FF
148	#D9C0FF
149	#E7D6FF
150	#EADBFF
151	#DEC7FF
152	#E3D0FF
153	#F0E4FF
154	#E6D5FF
155	#E6D4FF
156	#FDFCFF
157	#EADBFF
158	#D8BEFF
159	#E6D3FF
160	#FFFEFE
161	#FFCAB8
162	#F2E9FF
163	#F0E4FF
164	#EEE2FF
165	#EBDCFF
166	#E4D1FF
167	#FDFCFF
168	#FFE3D9
169	#FEFEFF
170	#FFC8B5
171	#FFD3C3
172	#F3E9FF
173	#E9D9FF
174	#F3E9FF
175	#DBC3FF
176	#E8D7FF
177	#E5D2FF
178	#EBDCFF
179	#E6D4FF
180	#FFFEFE
181	#D9C0FF
182	#E9D8FF
183	#E6D3FF
184	#F4ECFF
185	#FFF0EB
186	#F0E5FF
187	#FCFAFF
188	#F8F3FF
189	#F5EDFF
190	#EEE2FF
191	#FFFBFA
192	#FFD1C1
193	#F9F4FF
194	#FFD4C5
195	#FFDED2
196	#FFCFBF
197	#F1E6FF
198	#F9F4FF
199	#E4D2FF
200	#E5D2FF
201	#ECDFFF
202	#F4EBFF
203	#E6D4FF
204	#FAF7FF
205	#E6D4FF
206	#EFE3FF
207	#F0E5FF
208	#F0E5FF
209	#F1E7FF
210	#F0E5FF
211	#E7D6FF
212	#FEFDFF
213	#F9F4FF
214	#F6F0FF
215	#FDFBFF
216	#FFE4DA
217	#FFF8F6
218	#FFDED2
219	#FFDBCF
220	#FFDED3
221	#F0E5FF
222	#DFCAFF
223	#E2CEFF
224	#E0CBFF
225	#EFE3FF
226	#F1E7FF
227	#EEE1FF
228	#FFEEE8
229	#F4EBFF
230	#F2E8FF
231	#FCFAFF
232	#FBF8FF
233	#E6D4FF
234	#FFCAB8
235	#FFF0EA
236	#FDFBFF
237	#FEFDFF
238	#FCF9FF
239	#FFF3EE
240	#FFECE4
241	#FFF2ED
242	#FFEDE7
243	#FFEAE2
244	#FFF5F2
245	#FFF8F6
246	#E7D6FF
247	#E2CDFF
248	#E6D4FF
249	#EDE0FF
250	#F6EEFF
251	#E6D4FF
252	#FFE2D8
253	#F3EAFF
254	#F2E8FF
255	#FFFCFB
256	#FFF3EE
257	#E6D4FF
258	#FFD9CB
259	#F4EBFF
260	#F8F2FF
261	#FCF9FF
262	#F6F0FF
263	#FFF9F6
264	#FFF3EF
265	#F7F0FF
266	#DEC7FF
267	#DBC4FF
268	#E1CCFF
269	#D6BBFF
270	#DAC2FF
271	#D4B8FF
272	#D5B9FF
273	#DEC7FF
274	#D8BFFF
275	#DAC2FF
276	#F6EEFF
277	#E4D2FF
278	#D7BDFF
279	#FFECE5
280	#FFDDD1
281	#FFD2C2
282	#F0E5FF
283	#EBDDFF
284	#E5D3FF
285	#E6D4FF
286	#E5D2FF
287	#EBDDFF
288	#EDE0FF
289	#FFF7F5
290	#FFF9F7
291	#FFECE5
292	#FEFEFF
293	#FEFEFF
294	#FAF6FF
295	#E6D3FF
296	#E7D6FF
297	#EDE0FF
298	#EADAFF
299	#E1CCFF
300	#FFE2D8
301	#E5D2FF
302	#F9F4FF
303	#FFF2EC
304	#FFF3EE
305	#F8F2FF
306	#FFF1EB
307	#F8F2FF
308	#F6EEFF
309	#F2E9FF
310	#F9F5FF
311	#FDFCFF
312	#FEFEFF
313	#FFEEE8
314	#FFEBE3
315	#FFE4DA
316	#FFF5F1
317	#E9D9FF
318	#EFE3FF
319	#ECDFFF
320	#EADAFF
321	#E0CBFF
322	#E4D1FF
323	#EADAFF
324	#FFDFD3
325	#E7D6FF
326	#F6EFFF
327	#FFE2D8
328	#FFEDE6
329	#F2E8FF
330	#FFF8F6
331	#F5EEFF
332	#FDFBFF
333	#FAF6FF
334	#FDFBFF
335	#F7F1FF
336	#FCFAFF
337	#FFFFFF
338	#FFFFFF
339	#FFE1D6
340	#F8F2FF
341	#F2E7FF
342	#ECDEFF
343	#E9D8FF
344	#E7D6FF
345	#E1CCFF
346	#DEC8FF
347	#E5D2FF
348	#FFF0EA
349	#EEE2FF
350	#F3EAFF
351	#FFF2EC
352	#FFF5F1
353	#FFF2EC
354	#FFF3EF
355	#FCFAFF
356	#F5EEFF
357	#F7F0FF
358	#EDE0FF
359	#FEFEFF
360	#FEFEFF
361	#FEFDFF
362	#FFFCFB
363	#FFECE5
364	#FFFDFD
365	#EDE0FF
366	#ECDEFF
367	#E9D9FF
368	#E6D4FF
369	#E2CEFF
370	#E6D4FF
371	#E6D3FF
372	#FBF9FF
373	#EEE2FF
374	#FAF6FF
375	#FFF2EC
376	#FFEDE7
377	#FFFCFB
378	#FFF9F7
379	#FFFFFF
380	#F5EEFF
381	#F6F0FF
382	#F0E5FF
383	#F3E9FF
384	#FEFDFF
385	#FFFBFA
386	#FFF1EB
387	#FFEBE4
388	#F0E4FF
389	#D7BCFF
390	#EADBFF
391	#E9DAFF
392	#EDE0FF
393	#E1CDFF
394	#EADAFF
395	#E1CCFF
396	#FCFAFF
397	#F0E5FF
398	#F3EAFF
399	#FFFDFD
400	#FFF0EA
401	#FFFCFB
402	#FEFEFF
403	#FDFBFF
404	#FFF9F6
405	#F8F2FF
406	#F2E7FF
407	#F4ECFF
408	#FDFCFF
409	#EEE1FF
410	#E3D0FF
411	#CCADFF
412	#DFC9FF
413	#C19EFF
414	#D9C0FF
415	#B993FF
416	#BF9AFF
417	#CBABFF
418	#E2CFFF
419	#C4A1FF
420	#EBDDFF
421	#CCADFF
422	#D7BDFF
423	#FEFEFF
424	#FDFCFF
425	#FFD2C2
426	#EEE2FF
427	#EADAFF
428	#E5D2FF
429	#EDE0FF
430	#E8D7FF
431	#E6D5FF
432	#E5D3FF
433	#E5D2FF
434	#EADAFF
435	#DEC7FF
436	#D5BAFF
437	#FCF9FF
438	#C8A8FF
439	#B68FFF
440	#AE85FF
441	#B892FF
442	#C6A4FF
443	#D1B4FF
444	#E2CEFF
445	#CCADFF
446	#FFF5F1
447	#FFFEFD
448	#E7D6FF
449	#FFDCD0
450	#E8D7FF
451	#EEE1FF
452	#EADBFF
453	#E8D7FF
454	#E8D8FF
455	#E9D9FF
456	#E1CCFF
457	#EADBFF
458	#E5D2FF
459	#D8BEFF
460	#D2B6FF
461	#FFE6DC
462	#D0B2FF
463	#BD98FF
464	#B68FFF
465	#C19EFF
466	#F7F0FF
467	#D1B4FF
468	#E8D7FF
469	#C09DFF
470	#B993FF
471	#DBC3FF
472	#FFF1EB
473	#FBF8FF
474	#EEE2FF
475	#EADBFF
476	#F2E8FF
477	#F1E7FF
478	#E3D0FF
479	#E4D1FF
480	#E4D1FF
481	#EADAFF
482	#DAC2FF
483	#D5BAFF
484	#E7D6FF
485	#E5D2FF
486	#CAABFF
487	#EEE1FF
488	#D0B3FF
489	#CCACFF
490	#A175FF
491	#DEC7FF
492	#E9D9FF
493	#A378FF
494	#8659FF
495	#A57AFF
496	#D4B8FF
497	#E3D0FF
498	#E9DAFF
499	#F3E9FF
500	#EEE1FF
501	#EBDDFF
502	#E7D6FF
503	#DEC7FF
504	#EEE2FF
505	#EBDCFF
506	#DEC8FF
507	#D8BFFF
508	#DAC1FF
509	#D0B2FF
510	#DFC9FF
511	#C09DFF
512	#E7D5FF
513	#BA94FF
514	#AD84FF
515	#E0CBFF
516	#EDE0FF
517	#BC97FF
518	#C19EFF
519	#DAC1FF
520	#DAC1FF
521	#CBACFF
522	#EADBFF
523	#F1E6FF
524	#EDE0FF
525	#EADAFF
526	#E2CFFF
527	#EBDDFF
528	#EADAFF
529	#EFE3FF
530	#DEC8FF
531	#E0CBFF
532	#F0E5FF
533	#DDC5FF
534	#ECDEFF
535	#B993FF
536	#EEE1FF
537	#CCADFF
538	#D8BFFF
539	#D6BBFF
540	#EEE2FF
541	#D6BBFF
542	#CCADFF
543	#D4B9FF
544	#DAC1FF
545	#CBACFF
546	#F0E4FF
547	#F0E5FF
548	#EADBFF
549	#E9D9FF
550	#E7D6FF
551	#EDDFFF
552	#E9D9FF
553	#EEE2FF
554	#EDE0FF
555	#E3D0FF
556	#EEE2FF
557	#DEC7FF
558	#EEE2FF
559	#BB96FF
560	#E2CDFF
561	#C4A2FF
562	#E3D0FF
563	#DDC5FF
564	#F0E5FF
565	#E5D2FF
566	#E9D9FF
567	#D4B9FF
568	#E1CCFF
569	#D3B7FF
570	#F2E8FF
571	#EADBFF
572	#EBDCFF
573	#E9D9FF
574	#E1CCFF
575	#E3D0FF
576	#E8D8FF
