group	fill
1	#FDFCFF
2	#E7D6FF
3	#DFCAFF
4	#D9C0FF
5	#D9BFFF
6	#DBC3FF
7	#ECDFFF
8	#F5EDFF
9	#E8D7FF
10	#F0E4FF
11	#EFE3FF
12	#F7F0FF
13	#DAC2FF
14	#DDC6FF
15	#EBDDFF
16	#FFE0D4
17	#FFEBE3
18	#EEE2FF
19	#F1E6FF
20	#EBDDFF
21	#EADBFF
22	#EDE0FF
23	#E6D3FF
24	#F0E5FF
25	#F0E4FF
26	#E7D6FF
27	#E1CCFF
28	#EFE4FF
29	#E3CFFF
30	#E3D0FF
31	#FAF6FF
32	#FFF0EB
33	#E7D6FF
34	#EFE3FF
35	#F6EFFF
36	#F2E9FF
37	#DEC8FF
38	#EEE1FF
39	#F0E4FF
40	#F0E4FF
41	#EEE1FF
42	#F8F3FF
43	#F4ECFF
44	#F0E5FF
45	#E8D8FF
46	#E9D9FF
47	#E6D3FF
48	#E9D8FF
49	#F0E4FF
50	#E5D3FF
51	#D9C0FF
52	#E4D1FF
53	#E3CFFF
54	#EFE3FF
55	#FDFBFF
56	#FFF0EB
57	#F5EEFF
58	#EFE3FF
59	#F9F4FF
60	#F4EBFF
61	#E5D2FF
62	#EEE1FF
63	#FFFBF9
64	#FEFEFF
65	#F3EAFF
66	#F8F3FF
67	#FAF6FF
68	#F3EAFF
69	#E8D8FF
70	#E2CFFF
71	#E7D6FF
72	#E7D6FF
73	#F5EDFF
74	#E6D4FF
75	#DCC5FF
76	#EEE1FF
77	#E6D4FF
78	#EFE4FF
79	#FFF6F2
80	#F0E5FF
81	#F1E6FF
82	#EEE2FF
83	#F2E8FF
84	#F5EEFF
85	#E2CEFF
86	#E2CFFF
87	#FFFBF9
88	#FFFFFF
89	#F6EFFF
90	#F1E6FF
91	#FBF8FF
92	#F0E4FF
93	#DCC4FF
94	#E6D3FF
95	#E9DAFF
96	#EDDFFF
97	#F8F2FF
98	#E2CEFF
99	#D3B7FF
100	#F5EDFF
101	#E4D1FF
102	#F5EEFF
103	#F3EAFF
104	#F3E9FF
105	#F8F2FF
106	#F3E9FF
107	#EBDCFF
108	#FAF6FF
109	#E2CEFF
110	#E7D5FF
111	#F5EDFF
112	#FFF3EF
113	#F7F1FF
114	#F8F2FF
115	#FDFBFF
116	#F2E8FF
117	#ECDEFF
118	#E3D0FF
119	#E9D8FF
120	#E2CEFF
121	#FEFEFF
122	#E5D2FF
123	#D4B8FF
124	#DBC4FF
125	#EDDFFF
126	#F4ECFF
127	#EADBFF
128	#F0E4FF
129	#EBDDFF
130	#FEFDFF
131	#ECDFFF
132	#FBF9FF
133	#D5BAFF
134	#E0CBFF
135	#E6D3FF
136	#FFF3EF
137	#F7F1FF
138	#FFFAF8
139	#FDFBFF
140	#E9D9FF
141	#ECDFFF
142	#E7D6FF
143	#EBDDFF
144	#EADBFF
145	#FFF8F6
146	#F8F3FF
147	#C6A4FF
148	#B790FF
149	#D8BEFF
150	#E2CEFF
151	#F2E7FF
152	#EDDFFF
153	#EDE0FF
154	#F7F1FF
155	#F5EEFF
156	#FFF1EB
157	#CFB2FF
158	#DDC6FF
159	#DEC8FF
160	#F1E6FF
161	#D8BEFF
162	#FFF0EB
163	#F2E7FF
164	#F3EAFF
165	#F0E4FF
166	#EFE4FF
167	#F9F5FF
168	#FFF7F4
169	#FFEDE6
170	#FFFBFA
171	#FDFCFF
172	#F0E4FF
173	#D6BBFF
174	#E2CEFF
175	#F4ECFF
176	#EBDCFF
177	#ECDEFF
178	#F0E5FF
179	#F6EFFF
180	#FFF1EB
181	#DAC2FF
182	#DEC7FF
183	#DEC8FF
184	#E9D8FF
185	#D9C0FF
186	#F7F1FF
187	#FEFEFF
188	#FDFBFF
189	#F9F5FF
190	#E3D0FF
191	#E2CEFF
192	#F0E5FF
193	#FFF7F4
194	#FFF8F5
195	#FFD2C2
196	#FFFCFB
197	#E1CCFF
198	#F9F5FF
199	#F5EEFF
200	#F0E4FF
201	#F2E8FF
202	#FCFAFF
203	#F6EFFF
204	#FFFFFE
205	#E8D7FF
206	#E8D8FF
207	#DFC9FF
208	#DEC8FF
209	#EADBFF
210	#FFFAF8
211	#DEC7FF
212	#E0CBFF
213	#DAC2FF
214	#DDC5FF
215	#E5D3FF
216	#E9D9FF
217	#FFFDFC
218	#F8F2FF
219	#FFFEFE
220	#FFCFBE
221	#FFFBFA
222	#EFE3FF
223	#F2E9FF
224	#ECDFFF
225	#FCFAFF
226	#F0E4FF
227	#F6F0FF
