group	fill
1	#FFE0D5
2	#FFEDE6
3	#FFFAF8
4	#F5EDFF
5	#FFFBF9
6	#FFF3EE
7	#FFE2D8
8	#FFCCBB
9	#FFF0EB
10	#FFE7DE
11	#FDFBFF
12	#FFE7DE
13	#FFDED3
14	#FFF5F1
15	#E5D2FF
16	#B993FF
17	#8E61FF
18	#FFE5DB
19	#FFE3D9
20	#FFE6DC
21	#FFE6DD
22	#FFEAE2
23	#FFFAF8
24	#FDFBFF
25	#FCF9FF
26	#EFE3FF
27	#FFF5F1
28	#FFF0EA
29	#FFFCFB
30	#FFFEFD
31	#F4ECFF
32	#FFEEE8
33	#FFF4F0
34	#FFEEE8
35	#FFECE4
36	#FFEFE9
37	#FFE0D4
38	#FFDED2
39	#FEFEFF
40	#FDFBFF
41	#F0E5FF
42	#FFF9F7
43	#FFFEFD
44	#FFFCFB
45	#FFFDFD
46	#FFF3EE
47	#FFF4F0
48	#F8F3FF
49	#FCF9FF
50	#F3E9FF
51	#FFFBFA
52	#FFF9F7
53	#FFFCFB
54	#FFFAF8
55	#F9F4FF
56	#FFEEE8
57	#FFCEBE
58	#FFEEE8
59	#FFE9E1
60	#FFFCFB
61	#FFECE5
62	#FFDED2
63	#FFF7F4
64	#FFF9F7
65	#F1E6FF
66	#FFF9F7
67	#F2E8FF
68	#FCF9FF
69	#FFFDFD
70	#FFF7F4
71	#FFFCFB
72	#EEE1FF
73	#F3E9FF
74	#EBDCFF
75	#FDFCFF
76	#F7F1FF
77	#FDFCFF
78	#FFF7F5
79	#FFE3D9
80	#FFDBCE
81	#FFE7DE
82	#FFE1D6
83	#FFEFE9
84	#FFFEFD
85	#FFE8DF
86	#FFDACD
87	#FFF5F1
88	#FFF3EF
89	#E2CFFF
90	#FDFCFF
91	#FAF6FF
92	#FBF8FF
93	#FFFBFA
94	#FFF4F0
95	#FBF8FF
96	#E8D7FF
97	#FBF8FF
98	#FEFEFF
99	#F9F5FF
100	#FFF4F0
101	#FFE3D9
102	#FFEEE7
103	#FFE0D5
104	#FFE7DE
105	#FFE6DD
106	#FFFBFA
107	#FFDBCF
108	#FFFDFC
109	#FFE8DF
110	#FFDFD4
111	#FFEDE6
112	#FBF9FF
113	#E5D3FF
114	#FFFCFB
115	#F5EDFF
116	#FBF9FF
117	#FFF2EC
118	#FFFCFB
119	#F2E9FF
120	#F2E8FF
121	#FDFCFF
122	#FFF9F6
123	#FFFEFE
124	#FFF1EC
125	#FFFBF9
126	#FFEEE8
127	#FFEFE9
128	#FFF4F0
129	#FFE1D6
130	#FFDACD
131	#FFE3D9
132	#FFF9F7
133	#FFE4DB
134	#FFE7DE
135	#FFF3EE
136	#FBF9FF
137	#E5D3FF
138	#F4ECFF
139	#F1E6FF
140	#F8F3FF
141	#FFF6F2
142	#F9F4FF
143	#F3EAFF
144	#FFEDE6
145	#FEFEFF
146	#F4EBFF
147	#FFFCFB
148	#FFF1EB
149	#F8F3FF
150	#FFE8E0
151	#FFEBE3
152	#FFECE5
153	#FFE0D5
154	#FFD5C6
155	#FFE1D6
156	#FFFFFF
157	#FFEEE8
158	#FFE4DB
159	#FFF3EF
160	#FFF8F5
161	#E5D3FF
162	#FDFBFF
163	#F5EDFF
164	#FEFEFF
165	#F7F0FF
166	#FFF8F6
167	#F0E4FF
168	#EEE2FF
169	#FAF7FF
170	#FAF6FF
171	#DEC8FF
172	#F7F0FF
173	#F1E6FF
174	#FFF3EF
175	#FFE6DC
176	#FFD9CB
177	#FFE8E0
178	#FFEEE7
179	#FFDED3
180	#F4EBFF
181	#FFE1D6
182	#FFDFD4
183	#FFF3EF
184	#FFFFFF
185	#F0E5FF
186	#FBF8FF
187	#F0E4FF
188	#EEE2FF
189	#F4ECFF
190	#FFF5F1
191	#FFF8F5
192	#FFFFFE
193	#F9F4FF
194	#F7F1FF
195	#F4EBFF
196	#F1E6FF
197	#EDE0FF
198	#FBF8FF
199	#FFE6DC
200	#FFD6C7
201	#FFF3EF
202	#FFE7DE
203	#FFDED3
204	#FEFDFF
205	#FFEBE3
206	#FFEAE2
207	#FFDFD4
208	#FFEFE9
209	#FEFEFF
210	#FEFDFF
211	#FFF6F3
212	#FCFAFF
213	#FFFDFC
214	#FFDED2
215	#FFF8F5
216	#F4EBFF
217	#F6EEFF
218	#E9D9FF
219	#FAF6FF
220	#FDFBFF
221	#EEE2FF
222	#F6EEFF
223	#FFE6DD
224	#FFE1D6
225	#FFE0D4
226	#FFE5DB
227	#FFEBE3
228	#F2E8FF
229	#FFFBF9
230	#FFFCFB
231	#FAF7FF
232	#E1CCFF
233	#F6EFFF
234	#C9A9FF
235	#FAF7FF
236	#FCFAFF
237	#FFEEE8
238	#FFEDE7
239	#ECDEFF
240	#F1E6FF
241	#E6D4FF
242	#E9DAFF
243	#FDFCFF
244	#FFE7DE
245	#E7D5FF
246	#FFE8E0
247	#FFECE5
248	#FFDBCE
249	#FFE3D9
250	#FFEEE8
251	#FFF0EA
252	#CEB0FF
253	#FFF2ED
254	#FFFCFB
255	#F0E5FF
256	#E1CDFF
257	#F6EFFF
258	#EFE4FF
259	#FFEEE8
260	#FDFCFF
261	#FFEEE8
262	#FCF9FF
263	#F4EBFF
264	#E9D8FF
265	#FFDACD
266	#FFFFFF
