group	fill
1	#FAF6FF
2	#EDE0FF
3	#EFE3FF
4	#EADBFF
5	#FEFEFF
6	#FFD4C4
7	#FFF8F5
8	#F0E5FF
9	#F7F1FF
10	#FDFBFF
11	#F9F4FF
12	#FEFEFF
13	#EFE4FF
14	#D0B3FF
15	#F9F4FF
16	#E6D3FF
17	#E7D5FF
18	#FCF9FF
19	#FFF1EC
20	#FFF4F0
21	#FFF4F0
22	#FFEEE8
23	#FDFCFF
24	#EEE2FF
25	#FFF2ED
26	#F4ECFF
27	#FFFCFB
28	#FDFCFF
29	#FFFDFD
30	#FFEBE3
31	#FFF9F7
32	#FFF0EB
33	#FAF7FF
34	#FFF0EA
35	#FFFCFB
36	#FFFFFF
37	#FFEAE2
38	#FFE4DA
39	#FFBBA5
40	#FFBCA6
41	#FFB198
42	#FFF2EC
43	#FFEDE6
44	#FFFBF9
45	#FFF8F6
46	#FFF8F5
47	#FFEEE8
48	#FFECE5
49	#FFF2ED
50	#FFFFFE
51	#FBF9FF
52	#EEE2FF
53	#FFFDFD
54	#FEFEFF
55	#FFDCCF
56	#FFF0EB
57	#FFD5C7
58	#FFF0EA
59	#FFFBF9
60	#FFF4F0
61	#FBF8FF
62	#FFE4DA
63	#FFD9CB
64	#FFC9B7
65	#FFB49C
66	#FFF2EC
67	#FFF7F5
68	#FFF9F7
69	#FFF8F6
70	#FFF2ED
71	#FFE3D9
72	#FFFBFA
73	#FFF6F3
74	#FFF5F2
75	#FFFBF9
76	#EFE4FF
77	#F8F2FF
78	#FFEEE8
79	#FFD4C6
80	#FFD1C1
81	#FFF3EF
82	#FFD5C6
83	#FFF8F5
84	#FFF3EE
85	#EADBFF
86	#FFFBFA
87	#FFE5DC
88	#FFBDA7
89	#FFB39B
90	#FFFDFC
91	#FFF7F4
92	#FFF0EB
93	#FFF1EC
94	#FFECE4
95	#FFE6DC
96	#FFF9F6
97	#FFF3EE
98	#FFF1EC
99	#FFEDE6
100	#FDFBFF
101	#FFD4C5
102	#FFD6C8
103	#FFCEBE
104	#FFD2C3
105	#FFD8CB
106	#FFEDE6
107	#FFFAF8
108	#FFFDFC
109	#EADBFF
110	#FCFAFF
111	#FDFCFF
112	#FFCCBA
113	#FFB7A0
114	#FFFBF9
115	#FFF5F1
116	#FFE6DD
