group	fill
1	#FDFCFF
2	#FFFFFF
3	#FFDED2
4	#FFDCD0
5	#FFDDD1
6	#FFF0EA
7	#FCF9FF
8	#F5EDFF
9	#F7F1FF
10	#F8F3FF
11	#FFEBE4
12	#FFFFFF
13	#FFE4DB
14	#FFDED3
15	#FFAE95
16	#FFC3AF
17	#FFCCBA
18	#FFFFFE
19	#F9F5FF
20	#FFF9F7
21	#FFF1EC
22	#FFEDE7
23	#FFECE4
24	#FFFCFB
25	#FFD9CC
26	#FFD2C2
27	#FFDCD0
28	#F6EFFF
29	#FFE6DC
30	#FFE5DB
31	#FFF1EC
32	#FFC3AF
33	#FFE9E1
34	#F6EFFF
35	#FDFBFF
36	#FFE1D6
37	#FFF5F1
38	#FFD9CC
39	#FFAA90
40	#FFAA90
41	#FFCDBC
42	#FFE5DC
43	#FFD5C6
44	#FFD1C1
45	#FFD0C0
46	#FFCFBF
47	#FFC8B5
48	#FFD0BF
49	#FFD9CC
50	#FFD4C5
51	#FFDACD
52	#FFE4DA
53	#FFE6DC
54	#FFEBE4
55	#FFF7F4
56	#FFC3AF
57	#FFE2D8
58	#F6EFFF
59	#F9F4FF
60	#FFDFD4
61	#FFF9F6
62	#FFD9CC
63	#FFBCA6
64	#FFB8A1
65	#FFC3AF
66	#FFE5DC
67	#FFD9CB
68	#FFD6C8
69	#FFD0C0
70	#FFCCBA
71	#FFC6B2
72	#FFD2C2
73	#FFDED2
74	#FFD3C4
75	#FFD6C8
76	#FDFBFF
77	#FFEBE4
78	#FFDED3
79	#FFE0D5
80	#FFFFFE
81	#FFF2ED
82	#FFF5F2
83	#F9F4FF
84	#FFE9E1
85	#FFF3EE
86	#FFDCD0
87	#FFBCA6
88	#FFBFA9
89	#FFD5C6
90	#FFEFE9
91	#FFD5C7
92	#FFD9CB
93	#FFC8B5
94	#FFC8B5
95	#FFCCBB
96	#FFD4C4
97	#FFDCD0
98	#FFD8CB
99	#FFC0AB
100	#FFECE5
101	#FFEEE8
102	#FFF7F5
103	#FFFAF8
104	#FFFBFA
105	#FEFEFF
106	#F9F5FF
107	#FAF6FF
108	#FFF1EB
109	#FFF3EE
110	#FFE0D5
111	#FFC3B0
112	#FFBFA9
113	#FFDDD1
114	#FFE6DD
115	#FFDED3
116	#FFD8CB
117	#FFC9B6
118	#FFC8B6
119	#FFD7C9
120	#FFD6C8
121	#FFEBE3
122	#FFD5C6
123	#FFCBB9
124	#FFEFE9
125	#FFF7F5
126	#FFF0EA
127	#FFFBFA
128	#FFFFFF
129	#FBF8FF
130	#FEFDFF
131	#FFFAF8
132	#FFEFE9
133	#FFC5B1
134	#FFC0AB
135	#FFCFBE
136	#FFBFA9
137	#FFDDD1
138	#FFE2D8
139	#FFE1D6
140	#FFD8CB
141	#FFD4C5
142	#FFDBCF
143	#FFE2D7
144	#FFD7C9
145	#FFE3D9
146	#FFCFBF
147	#FFD9CC
148	#FEFEFF
149	#FFF1EC
150	#FFE6DD
151	#FFF3EF
152	#FFF7F5
153	#FFEEE7
154	#FFFEFE
155	#FFF7F5
156	#FFF1EB
157	#FFF2ED
158	#FFE3D9
159	#FFEBE4
160	#FFBDA7
161	#FFDED3
162	#FFE7DE
163	#FFE5DB
164	#FFD6C8
165	#FFD0BF
166	#FFC6B3
167	#FFFDFD
168	#FFD5C7
169	#FFEDE6
170	#FFF0EA
171	#FFF6F2
172	#FFE5DC
173	#FFDED3
174	#FFE6DD
175	#FFF9F7
176	#FFFCFB
177	#FBF8FF
178	#FFE0D4
179	#FFF7F4
180	#FFF1EB
181	#FFF1EB
182	#FFECE5
183	#FFEBE4
184	#FFEAE2
185	#FFFEFD
186	#FFE7DE
187	#FFD0C0
188	#FFD5C6
189	#FFC1AD
190	#FFECE5
191	#FFF0EB
192	#FFF3EE
193	#FFF7F4
194	#FFECE5
195	#FFF5F2
196	#FFE7DE
197	#FFE8E0
198	#FFFBFA
199	#FFF7F5
200	#FFFFFF
201	#FBF7FF
202	#FCFAFF
203	#FFF7F4
204	#FFE7DE
205	#FFFEFE
206	#FFF4F0
207	#FFF7F4
208	#FFECE4
209	#FFF1EC
210	#FFD9CB
211	#FFD6C8
212	#FFDBCE
213	#FFD8CB
214	#FFEBE4
215	#FFF5F2
216	#FFE7DE
217	#FFFDFC
218	#FFDED3
219	#FFDACD
220	#FFDBCE
221	#FFC4B0
222	#FFE1D6
223	#FFFBFA
224	#FFFAF8
225	#FFF7F4
226	#FFFFFF
227	#FDFCFF
228	#FFDBCF
229	#FFF3EE
230	#FFEDE6
231	#FFDED3
232	#FFFDFC
233	#FFEEE8
234	#FFB097
235	#FFB69F
236	#FFD1C1
237	#FFD6C7
238	#FFEDE7
239	#FFF2EC
240	#FFDDD1
241	#FF997B
242	#FFE6DC
243	#FFD3C4
244	#FFE8DF
245	#FFC4B1
246	#FFE0D5
247	#FFE6DC
248	#FFFAF8
249	#FFFCFB
250	#FFFFFE
251	#FFECE4
252	#FFE5DB
253	#FFF3EE
254	#FFEDE6
255	#FFFCFB
256	#FAF7FF
257	#FFEEE8
258	#FFB39B
259	#FFDCD0
260	#FFDDD1
261	#FFDFD4
262	#FFEFE9
263	#FFE5DC
264	#FFE7DE
265	#FFFCFB
266	#FEFEFF
267	#FFD5C7
268	#FFD8CA
269	#FFD1C1
270	#FFEAE3
271	#FFEFE9
272	#FFEFE9
273	#F7F1FF
274	#FFDBCE
275	#FFEAE2
276	#FFFFFF
277	#FFE8E0
278	#FFC0AB
279	#FFAE95
280	#FFC3AF
281	#FFD4C5
282	#FEFDFF
283	#FFFCFB
284	#FFF4F0
285	#FFEAE2
286	#FFE4DA
287	#FFECE5
288	#FFF6F2
289	#FFFAF8
290	#FFE5DC
291	#FFD6C8
292	#FFE3D9
293	#FFD2C3
294	#FFDED2
295	#FFF3EE
296	#FFF6F3
297	#FFFCFB
298	#FFF6F3
299	#FFFAF8
300	#FFE5DB
301	#FFFCFB
302	#FFF1EC
303	#FFF9F7
304	#FAF7FF
305	#FFFEFD
306	#FFCCBA
307	#FFD3C4
308	#FFDACD
309	#FFDACD
310	#FFDCD0
311	#FFDDD1
312	#FFE8DF
313	#FFF9F6
314	#FFEFE9
315	#FFF2EC
316	#FFE4DA
317	#FFC1AD
318	#FFEEE8
319	#FFF5F1
320	#FFF3EE
321	#FFFDFC
