group	fill
1	#FFF8F6
2	#F8F2FF
3	#FFFDFC
4	#FFE1D6
5	#FFECE4
6	#FFE2D8
7	#FFF8F6
8	#FFDED2
9	#FFE8DF
10	#FFEFE9
11	#FBF9FF
12	#FEFEFF
13	#F4EBFF
14	#FFF7F4
15	#FFE8DF
16	#FFE5DB
17	#FFF4F0
18	#FDFCFF
19	#FFF9F6
20	#FFF4F0
21	#FFF6F3
22	#FDFCFF
23	#F9F4FF
24	#F9F5FF
25	#E6D5FF
26	#F9F4FF
27	#FFF4F0
28	#E6D4FF
29	#F4ECFF
30	#F9F5FF
31	#FFF6F2
32	#E7D5FF
33	#FFFFFF
34	#FFEFE9
35	#F8F3FF
36	#EBDCFF
37	#F4ECFF
38	#ECDEFF
39	#E8D7FF
40	#D9C0FF
41	#EBDCFF
42	#ECDFFF
43	#F1E6FF
44	#EADBFF
45	#E0CAFF
46	#DEC8FF
47	#E4D1FF
48	#E8D7FF
49	#E6D5FF
50	#FFF4F0
51	#FFECE5
52	#F2E8FF
53	#F4ECFF
54	#FAF7FF
55	#F6EFFF
56	#E7D5FF
57	#FCFAFF
58	#FFEFE9
59	#FFFFFE
60	#EBDCFF
61	#FEFEFF
62	#ECDEFF
63	#E4D2FF
64	#E6D5FF
65	#EFE3FF
66	#ECDFFF
67	#EEE2FF
68	#E4D1FF
69	#E0CAFF
70	#E3D0FF
71	#DDC6FF
72	#F2E8FF
73	#E3CFFF
74	#FFF2EE
75	#FFE2D8
76	#FCF9FF
77	#FEFEFF
78	#F8F3FF
79	#FBF8FF
80	#EDE0FF
81	#FFFCFB
82	#F7F1FF
83	#FFFAF8
84	#E4D2FF
85	#FFF7F4
86	#F7F1FF
87	#E9D9FF
88	#EFE3FF
89	#F0E4FF
90	#E7D6FF
91	#E3D0FF
92	#DDC6FF
93	#DEC8FF
94	#DEC8FF
95	#E6D4FF
96	#FEFEFF
97	#DFCAFF
98	#FFEAE2
99	#FFEDE7
100	#FFEFE9
101	#F6F0FF
102	#FFFBF9
103	#FBF7FF
104	#FFF0EA
105	#FFE6DC
106	#FFEBE3
107	#FCF9FF
108	#E1CCFF
109	#FFF7F4
110	#FFFFFE
111	#ECDEFF
112	#EFE4FF
113	#F2E9FF
114	#EADBFF
115	#EADBFF
116	#D9C1FF
117	#D6BBFF
