group	fill
1	#FFD5C7
2	#FFBCA6
3	#FFF3EF
4	#FFE7DE
5	#FFE6DC
6	#FFE0D5
7	#FFF0EA
8	#FFE0D5
9	#FFDED2
10	#FFBDA7
11	#FFCFBE
12	#FFE0D5
13	#FFDED2
14	#FFFDFD
15	#FEFDFF
16	#E2CEFF
17	#F3E9FF
18	#FFDCCF
19	#FFD1C1
20	#FFC6B3
21	#FFA78C
22	#FFAE95
23	#FFA286
24	#FFA488
25	#FFF2EC
26	#FFA083
27	#FFB39B
28	#FFC5B1
29	#FFBAA3
30	#FFBCA6
31	#FFD4C4
32	#FFD8CA
33	#FFC8B5
34	#FFE9E1
35	#FFEBE3
36	#FFF3EF
37	#FFE5DC
38	#FFFDFC
39	#F8F3FF
40	#F2E7FF
41	#F9F5FF
42	#FFE6DD
43	#FFD8CB
44	#FFC3AF
45	#FFCEBE
46	#FFD2C2
47	#FFD6C8
48	#FFB69F
49	#FFF2EC
50	#FFB097
51	#FFA387
52	#FFBDA7
53	#FFBAA3
54	#FFC8B5
55	#FFE6DD
56	#FFD8CA
57	#FFCAB8
58	#FFE9E1
59	#FFE7DE
60	#FFF0EA
61	#FFE2D7
62	#FFFDFC
63	#F8F3FF
64	#F9F4FF
65	#FFFCFB
66	#FFE6DD
67	#FFD2C3
68	#FFC8B5
69	#FFCEBE
70	#FFE1D6
71	#FFCCBB
72	#FFB8A1
73	#FFF2ED
74	#FFA78C
75	#FFB299
76	#FFC7B4
77	#FFC3AF
78	#FFAF96
79	#FFD4C4
80	#FFC2AE
81	#FFC5B2
82	#FFEAE2
83	#FFF3EE
84	#FFF5F1
85	#FFECE4
86	#F6EFFF
87	#FBF8FF
88	#FEFEFF
89	#FFF7F5
90	#FFDCD0
91	#FFD1C1
92	#FFCFBF
93	#FFD2C2
94	#FFE1D6
95	#FFB29A
96	#FFB299
97	#FFFBF9
98	#FFB299
99	#FFB8A1
100	#FFCDBC
101	#FFCEBD
102	#FFC8B5
103	#FFD2C3
104	#FFC4B1
105	#FFD3C3
106	#FFEBE3
107	#FFEFE9
108	#FBF8FF
109	#FFECE4
110	#FDFBFF
111	#FBF8FF
112	#F9F4FF
113	#FFF9F7
114	#FFF2ED
115	#FFCAB8
116	#FFCCBA
117	#FFE5DB
118	#FFD4C6
119	#FFA589
120	#FFA88E
121	#FFF8F6
122	#FFC5B2
123	#FFC5B1
124	#FFC4B1
125	#FFDED2
126	#FFD6C8
127	#FFDCCF
128	#FFD6C8
129	#FFCFBF
130	#FFECE5
131	#FFF3EF
132	#FFF3EF
133	#F0E4FF
134	#F2E7FF
135	#F9F5FF
136	#F9F4FF
137	#FFF9F7
138	#FFE9E1
139	#FFDED2
140	#FFC0AB
141	#FFC2AE
142	#FFDED2
143	#FFDACC
144	#FFC1AC
145	#FFF8F6
146	#FFDFD4
147	#FFDCD0
148	#FFCAB8
149	#FFC8B6
150	#FFD6C7
151	#FFD9CB
152	#FFE0D5
153	#FFDACC
154	#FFE6DC
155	#FFEFE9
156	#FFE3D9
157	#FEFDFF
158	#F8F3FF
159	#FFECE5
160	#FFFBF9
161	#FFEAE3
162	#FFEDE6
163	#FFCFBE
164	#FFD0BF
165	#FFCCBB
166	#D6BCFF
167	#F4ECFF
168	#FFD9CC
