group	fill
1	#FDFCFF
2	#FFFFFF
3	#FFFFFF
4	#FFFEFD
5	#FFF3EE
6	#FFF9F7
7	#FFE5DB
8	#FFECE5
9	#FFFEFE
10	#FFFFFF
11	#EFE3FF
12	#FFFFFF
13	#EBDCFF
14	#F3E9FF
15	#E4D2FF
16	#F9F4FF
17	#FFE1D6
18	#FFFFFE
19	#FFFEFD
20	#FFF9F7
21	#FFFBF9
22	#FDFBFF
23	#FEFDFF
24	#F9F4FF
25	#F8F3FF
26	#FFE7DE
27	#FFFBFA
28	#FFF6F3
29	#FFF2EC
30	#FCF9FF
31	#FFFBF9
32	#E9D9FF
33	#FFE9E1
34	#FEFEFF
35	#FFEDE7
36	#F2E9FF
37	#FFECE4
38	#FFECE5
39	#F0E4FF
40	#E9D9FF
41	#F5EDFF
42	#F8F3FF
43	#FDFBFF
44	#F9F4FF
45	#E8D8FF
46	#F0E4FF
47	#DCC5FF
48	#D6BBFF
49	#F8F3FF
50	#FDFCFF
51	#FFF0EA
52	#FFEEE7
53	#FFF2EC
54	#F6EEFF
55	#FDFBFF
56	#E9D9FF
57	#FFEEE8
58	#FEFEFF
59	#FFFCFB
60	#F4EBFF
61	#FFEFE9
62	#FFECE5
63	#F3EAFF
64	#F6EFFF
65	#ECDFFF
66	#F8F3FF
67	#F2E7FF
68	#EBDCFF
69	#E8D8FF
70	#EBDDFF
71	#D4B9FF
72	#DEC7FF
73	#F5EDFF
74	#EDE0FF
75	#F5EEFF
76	#FDFBFF
77	#FEFDFF
78	#F8F2FF
79	#F6F0FF
80	#FFFFFE
81	#FFF2ED
82	#FFF5F2
83	#FFFCFB
84	#F5EEFF
85	#FFE9E1
86	#FFF0EA
87	#FFFBF9
88	#F0E4FF
89	#E6D5FF
90	#F9F5FF
91	#EADAFF
92	#E0CAFF
93	#DCC4FF
94	#D3B7FF
95	#CFB1FF
96	#D1B4FF
97	#EFE3FF
98	#E2CEFF
99	#EDE0FF
100	#FDFCFF
101	#F4EBFF
102	#FFF7F5
103	#FFFAF8
104	#FFF2EC
105	#FFF4F0
106	#FFFBFA
107	#FFFAF8
108	#F2E7FF
109	#FFE9E1
110	#FFF6F2
111	#FDFCFF
112	#F0E4FF
113	#DEC8FF
114	#F1E6FF
115	#E5D2FF
116	#CDAEFF
117	#D2B5FF
118	#C8A7FF
119	#C4A2FF
120	#C7A5FF
121	#F6EFFF
122	#E5D2FF
123	#F0E4FF
124	#FBF8FF
125	#EDDFFF
126	#FFF9F7
127	#FFE6DC
128	#FFEAE2
129	#FFE4DA
130	#FFF5F1
131	#FCF9FF
132	#F3EAFF
133	#FFE2D7
134	#FFF5F1
135	#FFF7F5
136	#F0E4FF
137	#DEC8FF
138	#EBDCFF
139	#D9C1FF
140	#CDAEFF
141	#C6A5FF
142	#C09CFF
143	#CFB1FF
144	#D0B3FF
145	#EADBFF
146	#E7D6FF
147	#EADBFF
148	#FFEAE3
149	#FAF6FF
150	#FFFCFB
151	#FFFDFC
152	#FFEEE8
153	#FFF7F4
154	#FFF5F1
155	#FCFAFF
156	#E7D6FF
157	#FFE8E0
158	#FFEDE6
159	#FFEBE4
160	#EADAFF
161	#EFE4FF
162	#DEC8FF
163	#D6BCFF
164	#D8BFFF
165	#C09CFF
166	#EFE4FF
167	#FFFDFD
168	#FFF7F4
169	#EADBFF
170	#F9F5FF
171	#E5D2FF
172	#E7D5FF
173	#FFF4F0
174	#F2E8FF
175	#FFF9F7
176	#FFF0EB
177	#FFF9F6
178	#FFFFFE
179	#FEFEFF
180	#E7D6FF
181	#FFF1EB
182	#FFF5F2
183	#FFEBE4
184	#FFFFFF
185	#E1CCFF
186	#DCC5FF
187	#DDC6FF
188	#E3CFFF
189	#F1E6FF
190	#FDFCFF
191	#FFFCFB
192	#FFFCFB
193	#EBDDFF
194	#F5EDFF
195	#E5D3FF
196	#F0E5FF
197	#EADBFF
198	#E3CFFF
199	#FFEEE8
200	#FFEAE2
201	#FFF0EA
202	#FFF7F5
203	#FEFEFF
204	#D3B7FF
205	#FFF5F1
206	#FFEAE3
207	#FFE1D6
208	#FEFDFF
209	#F3EAFF
210	#D6BCFF
211	#FAF6FF
212	#FAF7FF
213	#F4EBFF
214	#FFF5F1
215	#FDFCFF
216	#F8F3FF
217	#DEC7FF
218	#E6D5FF
219	#E0CBFF
220	#D5B9FF
221	#D0B2FF
222	#FEFEFF
223	#FFFBFA
224	#FFFAF8
225	#FCFAFF
226	#FFF3EF
227	#F6F0FF
228	#E7D6FF
229	#FFF3EE
230	#FFF9F6
231	#FFEAE3
232	#FFE8DF
233	#FFEEE8
234	#ECDEFF
235	#DCC5FF
236	#F0E5FF
237	#FCFAFF
238	#FFF9F7
239	#FFFDFD
240	#EFE3FF
241	#F0E4FF
242	#E1CCFF
243	#DDC5FF
244	#DFCAFF
245	#E8D7FF
246	#FFF5F2
247	#FFFBFA
248	#FFFAF8
249	#FFFCFB
250	#FFF5F1
251	#FEFDFF
252	#ECDFFF
253	#FFF3EE
254	#FFF9F6
255	#FFF0EA
256	#FFFCFB
257	#FFEEE8
258	#EFE4FF
259	#F1E6FF
260	#F0E5FF
261	#FEFDFF
262	#FFF9F6
263	#FAF6FF
264	#E9D9FF
265	#FAF7FF
266	#FEFEFF
267	#FEFEFF
268	#FFE4DA
269	#FFDDD1
270	#FEFEFF
271	#FBF9FF
272	#FBF9FF
273	#FFFEFE
274	#EBDCFF
275	#E9D8FF
276	#FFFFFF
277	#F1E6FF
278	#E2CEFF
279	#E4D2FF
280	#F9F4FF
281	#FFEAE2
282	#FEFDFF
283	#FFFCFB
284	#FEFEFF
285	#FFFFFF
286	#FFF9F7
287	#FDFCFF
288	#FDFCFF
289	#DCC4FF
290	#CEB0FF
291	#DAC2FF
292	#EADBFF
293	#E6D5FF
294	#FFFDFC
295	#FFF3EE
296	#FFF6F3
297	#FFFCFB
298	#FFF6F3
299	#FCF9FF
300	#ECDFFF
301	#FFF0EB
302	#FFFBF9
303	#FFF9F7
304	#FFFCFB
305	#FFF2ED
306	#E1CCFF
307	#F7F1FF
308	#F2E8FF
309	#FBF7FF
310	#FFFDFD
311	#F9F4FF
312	#E7D5FF
313	#D0B2FF
314	#DAC1FF
315	#DFC9FF
316	#E0CBFF
317	#E5D2FF
318	#FFF7F5
319	#FFF5F1
