group	fill
1	#FFF6F2
2	#FFD7C9
3	#FFCFBF
4	#FFCDBC
5	#FFDCCF
6	#FFF3EE
7	#F5EEFF
8	#EDDFFF
9	#FAF7FF
10	#FFF3EE
11	#FFE1D6
12	#FFF3EF
13	#FFF4F0
14	#F0E5FF
15	#CCADFF
16	#B993FF
17	#BA95FF
18	#FFE5DB
19	#FFECE5
20	#FFE6DC
21	#FFE6DD
22	#FFD4C6
23	#FFC3AF
24	#FFC2AE
25	#FFEEE8
26	#FFAA8F
27	#FFB49C
28	#FFBBA5
29	#FFB49C
30	#FF9F83
31	#FFB8A1
32	#FFA387
33	#FFB69E
34	#FFD9CB
35	#FEFDFF
36	#FFE6DC
37	#FFFFFE
38	#FFE7DE
39	#FFE1D6
40	#FFC2AE
41	#FFBBA5
42	#FFD8CA
43	#FFD0C0
44	#FFD1C1
45	#FFD2C3
46	#FFC8B5
47	#FFB39B
48	#FFB299
49	#FFEEE8
50	#FFA488
51	#FFBAA4
52	#FFB8A1
53	#FFB49C
54	#FF9172
55	#FF8E6E
56	#FFA387
57	#FFCEBE
58	#FFD9CB
59	#FFF5F1
60	#FFF2EE
61	#FFF5F2
62	#FFE7DE
63	#FFE2D7
64	#FFCCBB
65	#FFC4B0
66	#FFD8CA
67	#FFCFBE
68	#FFCDBC
69	#FFD2C3
70	#FFCCBA
71	#FFBBA5
72	#FFAB91
73	#FFEDE6
74	#FF987B
75	#FFAA90
76	#FFA083
77	#FFB7A0
78	#FF9678
79	#FFA185
80	#FFD1C1
81	#FFD2C2
82	#FFE1D6
83	#FFE3D9
84	#FFE8E0
85	#FFE8DF
86	#FFE4DA
87	#FFCAB7
88	#FFD2C2
89	#FFC9B7
90	#FFE0D5
91	#FFCDBC
92	#FFC1AD
93	#FFD0C0
94	#FFC9B7
95	#FFA488
96	#FF8362
97	#FFEDE6
98	#FF8565
99	#FFA68B
100	#FFA98E
101	#FFC1AC
102	#FFA083
103	#FF9476
104	#FFB299
105	#FFDACD
106	#FFD0C0
107	#FFDBCF
108	#FFE5DB
109	#FFE8DF
110	#FFDFD4
111	#FFD7C9
112	#FFE3D9
113	#FFEAE2
114	#FFE6DD
115	#FFBEA9
116	#FFB7A0
117	#FFC6B3
118	#FFAF96
119	#FF7D5C
120	#FF7351
121	#FFEAE2
122	#FFA185
123	#FF9B7D
124	#FFC6B3
125	#FFD0BF
126	#FFB9A3
127	#FF997C
128	#FFA98F
129	#FFD5C7
130	#FFDACD
131	#FFE3D9
132	#FFE2D7
133	#FFE4DB
134	#FFDBCE
135	#FFDDD1
136	#FFE3D9
